Word,Frequency
וַיִּבְרָ֨א,1
הָֽאָדָם֙,4
בְּצַלְמ֔וֹ,1
בְּצֶ֥לֶם,1
אֹת֑וֹ,21
זָכָ֥ר,9
וּנְקֵבָ֖ה,3
בָּרָ֥א,2
אֹתָֽם,24
וַיְבָ֣רֶךְ,6
אֹתָם֮,1
אֱלֹהִים֒,1
וַיֹּ֨אמֶר,88
לָהֶ֜ם,1
פְּר֥וּ,2
וּרְב֛וּ,1
וּמִלְא֥וּ,2
הָאָ֖רֶץ,50
וְכִבְשֻׁ֑הָ,1
וּרְד֞וּ,1
בִּדְגַ֤ת,1
הַיָּם֙,4
חַיָּ֖ה,6
הָֽרֹמֶ֥שֶׂת,1
הִנֵּה֩,1
נָתַ֨תִּי,1
לָכֶ֜ם,11
זֹרֵ֣עַ,2
זֶ֗רַע,4
כׇל,59
הָעֵ֛ץ,1
אֲשֶׁר,445
בּ֥וֹ,7
פְרִי,1
עֵ֖ץ,1
זָ֑רַע,6
לָכֶ֥ם,12
יִֽהְיֶ֖ה,2
לְאׇכְלָֽה,3
וּֽלְכׇל,2
חַיַּ֣ת,6
הָ֠אָרֶץ,2
וּלְכׇל,12
ע֨וֹף,1
הַשָּׁמַ֜יִם,1
וּלְכֹ֣ל,2
רוֹמֵ֣שׂ,2
הָאָ֗רֶץ,24
בּוֹ֙,7
חַיָּ֔ה,3
יֶ֥רֶק,1
עֵ֖שֶׂב,1
לְאׇכְלָ֑ה,3
וַיַּ֤רְא,10
אֱלֹהִים֙,32
אֲשֶׁ֣ר,284
עָשָׂ֔ה,7
וְהִנֵּה,11
ט֖וֹב,4
מְאֹ֑ד,19
הַשִּׁשִּֽׁי,1
וַיְכֻלּ֛וּ,1
הַשָּׁמַ֥יִם,1
וְהָאָ֖רֶץ,2
וְכׇל,142
צְבָאָֽם,1
וַיְכַ֤ל,2
הַשְּׁבִיעִ֔י,12
מְלַאכְתּ֖וֹ,2
עָשָׂ֑ה,3
וַיִּשְׁבֹּת֙,1
מִכׇּל,40
עָשָֽׂה,7
וַיְבָ֤רֶךְ,1
י֣וֹם,13
וַיְקַדֵּ֖שׁ,2
כִּ֣י,192
ב֤וֹ,1
שָׁבַת֙,1
מְלַאכְתּ֔וֹ,1
לַעֲשֽׂוֹת,4
אֵ֣לֶּה,28
תוֹלְד֧וֹת,1
הַשָּׁמַ֛יִם,3
בְּהִבָּֽרְאָ֑ם,1
בְּי֗וֹם,6
עֲשׂ֛וֹת,1
יְהוָ֥ה,124
אֶ֥רֶץ,41
וְשָׁמָֽיִם,1
וְכֹ֣ל,8
שִׂ֣יחַ,1
הַשָּׂדֶ֗ה,4
טֶ֚רֶם,1
יִֽהְיֶ֣ה,1
בָאָ֔רֶץ,3
