Word,Frequency
כִּלָּ֣ה,2
לְדַבֵּר֒,1
וְהִנֵּ֧ה,5
רִבְקָ֣ה,2
יֹצֵ֗את,1
יֻלְּדָה֙,1
לִבְתוּאֵ֣ל,1
אֲחִ֣י,5
וְכַדָּ֖הּ,1
שִׁכְמָֽהּ,1
וְהַֽנַּעֲרָ֗,1
טֹבַ֤ת,1
מַרְאֶה֙,1
בְּתוּלָ֕ה,1
וְאִ֖ישׁ,2
יְדָעָ֑הּ,1
וַתֵּ֣רֶד,1
הָעַ֔יְנָה,1
וַתְּמַלֵּ֥א,1
כַדָּ֖הּ,1
וַתָּֽעַל,1
וַיָּ֥רׇץ,1
הָעֶ֖בֶד,3
לִקְרָאתָ֑הּ,1
הַגְמִיאִ֥ינִי,1
נָ֛א,4
מִכַּדֵּֽךְ,2
וַתֹּ֖אמֶר,3
שְׁתֵ֣ה,1
אֲדֹנִ֑י,8
וַתְּמַהֵ֗ר,3
וַתֹּ֧רֶד,1
כַּדָּ֛הּ,1
יָדָ֖הּ,1
וַתַּשְׁקֵֽהוּ,1
וַתְּכַ֖ל,1
לְהַשְׁקֹת֑וֹ,1
גַּ֤ם,3
לִגְמַלֶּ֨יךָ֙,1
אֶשְׁאָ֔ב,1
עַ֥ד,14
כִּלּ֖וּ,1
לִשְׁתֹּֽת,1
וַתְּעַ֤ר,1
כַּדָּהּ֙,2
הַשֹּׁ֔קֶת,1
וַתָּ֥רׇץ,1
הַבְּאֵ֖ר,3
לִשְׁאֹ֑ב,1
וַתִּשְׁאַ֖ב,1
גְּמַלָּֽיו,1
וְהָאִ֥ישׁ,2
מִשְׁתָּאֵ֖ה,1
לָ֑הּ,4
מַחֲרִ֕ישׁ,1
לָדַ֗עַת,2
הַֽהִצְלִ֧יחַ,1
כִּלּ֤וּ,1
הַגְּמַלִּים֙,1
לִשְׁתּ֔וֹת,1
נֶ֣זֶם,1
זָהָ֔ב,15
בֶּ֖קַע,1
מִשְׁקָל֑וֹ,1
וּשְׁנֵ֤י,3
צְמִידִים֙,1
יָדֶ֔יהָ,1
עֲשָׂרָ֥ה,14
זָהָ֖ב,29
מִשְׁקָלָֽם,1
מִ֣י,11
אַ֔תְּ,1
הַגִּ֥ידִי,1
הֲיֵ֧שׁ,2
בֵּית,7
אָבִ֛יךְ,1
מָק֥וֹם,1
לָ֖נוּ,10
לָלִֽין,1
בְּתוּאֵ֖ל,1
מִלְכָּ֕ה,1
לְנָחֽוֹר,1
תֶּ֥בֶן,1
מִסְפּ֖וֹא,2
רַ֣ב,2
עִמָּ֑נוּ,4
מָק֖וֹם,9
לָלֽוּן,1
וַיִּקֹּ֣ד,1
הָאִ֔ישׁ,9
עָזַ֥ב,2
חַסְדּ֛וֹ,1
וַאֲמִתּ֖וֹ,1
מֵעִ֣ם,7
בַּדֶּ֨רֶךְ֙,4
נָחַ֣נִי,1
בֵּ֖ית,4
אֲחֵ֥י,2
וַתָּ֨רׇץ֙,1
הַֽנַּעֲרָ֔,2
וַתַּגֵּ֖ד,1
אִמָּ֑הּ,1
כַּדְּבָרִ֖ים,2
וּלְרִבְקָ֥ה,1
אָ֖ח,1
וּשְׁמ֣וֹ,2
לָבָ֑ן,6
וַיָּ֨רׇץ,2
לָבָ֧ן,1
הָאִ֛ישׁ,8
הַח֖וּצָה,2
הָעָֽיִן,4
כִּרְאֹ֣ת,1
הַנֶּ֗זֶם,1
הַצְּמִדִים֮,1
יְדֵ֣י,3
אֲחֹתוֹ֒,1
וּכְשׇׁמְע֗וֹ,1
דִּבְרֵ֞י,2
רִבְקָ֤ה,2
אֲחֹתוֹ֙,1
כֹּֽה,10
דִבֶּ֥ר,1
הָאִ֑ישׁ,7
וְהִנֵּ֛ה,12
עֹמֵ֥ד,2
הַגְּמַלִּ֖ים,2
בּ֖וֹא,1
בְּר֣וּךְ,1
לָ֤מָּה,4
תַעֲמֹד֙,1
בַּח֔וּץ,1
וְאָנֹכִי֙,2
פִּנִּ֣יתִי,1
וּמָק֖וֹם,1
לַגְּמַלִּֽים,1
וַיָּבֹ֤א,5
הַבַּ֔יְתָה,3
וַיְפַתַּ֖ח,1
הַגְּמַלִּ֑ים,1
וַיִּתֵּ֨ן,11
תֶּ֤בֶן,1
וּמִסְפּוֹא֙,1
לַגְּמַלִּ֔ים,1
וּמַ֨יִם֙,1
לִרְחֹ֣ץ,2
רַגְלָ֔יו,1
וְרַגְלֵ֥י,1
וַיּוּשַׂ֤ם,1
לְפָנָיו֙,5
לֶאֱכֹ֔ל,1
אֹכַ֔ל,1
דִּבַּ֖רְתִּי,4
דְּבָרָ֑י,2
דַּבֵּֽר,1
וַיהוָ֞ה,1
בֵּרַ֧ךְ,2
אֲדֹנִ֛י,1
ל֞וֹ,1
צֹ֤אן,1
וְכֶ֣סֶף,2
וְזָהָ֔ב,2
וַעֲבָדִם֙,1
וּגְמַלִּ֖ים,2
וַחֲמֹרִֽים,2
וַתֵּ֡לֶד,1
שָׂרָה֩,1
אֵ֨שֶׁת,1
בֵן֙,1
לַֽאדֹנִ֔י,4
אַחֲרֵ֖י,12
זִקְנָתָ֑הּ,1
וַיַּשְׁבִּעֵ֥נִי,1
אֲדֹנִ֖י,7
בְּאַרְצֽוֹ,1
לֹ֧א,11
אָבִ֛י,2
תֵּלֵ֖ךְ,1
מִשְׁפַּחְתִּ֑י,2
לִבְנִֽי,1
וָאֹמַ֖ר,4
אֻלַ֛י,1
תֵלֵ֥ךְ,1
אַחֲרָֽי,3
אֵלָ֑י,17
יְהוָ֞ה,8
הִתְהַלַּ֣כְתִּי,1
לְפָנָ֗יו,1
יִשְׁלַ֨ח,1
מַלְאָכ֤וֹ,1
אִתָּךְ֙,1
וְהִצְלִ֣יחַ,1
דַּרְכֶּ֔ךָ,1
וְלָקַחְתָּ֤,4
מִמִּשְׁפַּחְתִּ֖י,1
וּמִבֵּ֥ית,1
אָבִֽי,4
אָ֤ז,2
תִּנָּקֶה֙,1
מֵאָ֣לָתִ֔י,1
תָב֖וֹא,2
יִתְּנוּ֙,1
וְהָיִ֥יתָ,3
נָקִ֖י,1
מֵאָלָתִֽי,1
וָאָבֹ֥א,1
הָעָ֑יִן,1
וָאֹמַ֗ר,2
יֶשְׁךָ,1
נָּא֙,4
מַצְלִ֣יחַ,1
דַּרְכִּ֔י,1
עָלֶֽיהָ,8
הָֽעַלְמָה֙,1
הַיֹּצֵ֣את,1
לִשְׁאֹ֔ב,1
וְאָמַרְתִּ֣י,2
הַשְׁקִֽינִי,1
וְאָמְרָ֤ה,1
אֵלַי֙,5
לִגְמַלֶּ֖יךָ,1
אֶשְׁאָ֑ב,1
הֹכִ֥יחַ,1
לְבֶן,2
אֲנִי֩,2
טֶ֨רֶם,1
אֲכַלֶּ֜ה,1
לִבִּ֗י,1
יֹצֵאת֙,1
וְכַדָּ֣הּ,1
שִׁכְמָ֔הּ,1
וַתֵּ֥רֶד,1
הָעַ֖יְנָה,1
וַתִּשְׁאָ֑ב,1
וָאֹמַ֥ר,1
אֵלֶ֖יהָ,5
הַשְׁקִ֥ינִי,1
נָֽא,1
וַתּ֤וֹרֶד,1
מֵֽעָלֶ֔יהָ,1
וָאֵ֕שְׁתְּ,1
הִשְׁקָֽתָה,1
וָאֶשְׁאַ֣ל,1
אֹתָ֗הּ,5
וָאֹמַר֮,1
אַתְּ֒,1
בְּתוּאֵל֙,3
יָֽלְדָה,4
מִלְכָּ֑ה,1
וָאָשִׂ֤ם,1
הַנֶּ֨זֶם֙,1
אַפָּ֔הּ,1
וְהַצְּמִידִ֖ים,1
וָאֶקֹּ֥ד,1
וָֽאֶשְׁתַּחֲוֶ֖ה,1
לַיהוָ֑ה,31
וָאֲבָרֵ֗ךְ,1
הִנְחַ֨נִי֙,1
בְּדֶ֣רֶךְ,3
אֱמֶ֔ת,1
לִבְנֽוֹ,1
וְ֠עַתָּה,1
יֶשְׁכֶ֨ם,1
עֹשִׂ֜ים,1
חֶ֧סֶד,1
וֶֽאֱמֶ֛ת,1
הַגִּ֣ידוּ,2
לֹ֕א,4
וְאֶפְנֶ֥ה,1
יָמִ֖ין,1
א֥וֹ,44
שְׂמֹֽאל,1
וַיַּ֨עַן,5
לָבָ֤ן,2
וּבְתוּאֵל֙,1
הַדָּבָ֑ר,2
נוּכַ֛ל,1
דַּבֵּ֥ר,6
רַ֥ע,2
אוֹ,38
רִבְקָ֥ה,4
לְפָנֶ֖יךָ,4
וָלֵ֑ךְ,1
וּתְהִ֤י,2
אֲדֹנֶ֔יךָ,2
כַּאֲשֶׁ֖ר,33
שָׁמַ֛ע,1
דִּבְרֵיהֶ֑ם,1
אַ֖רְצָה,3
הָעֶ֜בֶד,1
כְּלֵי,5
כֶ֨סֶף,1
וּכְלֵ֤י,1
זָהָב֙,3
וּבְגָדִ֔ים,1
לְרִבְקָ֑ה,1
וּמִ֨גְדָּנֹ֔ת,1
נָתַ֥ן,11
לְאָחִ֖יהָ,1
וּלְאִמָּֽהּ,1
וַיֹּאכְל֣וּ,1
וַיִּשְׁתּ֗וּ,1
וְהָאֲנָשִׁ֥ים,1
וַיָּלִ֑ינוּ,1
וַיָּק֣וּמוּ,1
בַבֹּ֔קֶר,6
שַׁלְּחֻ֥נִי,1
לַֽאדֹנִֽי,2
אָחִ֨יהָ֙,1
וְאִמָּ֔הּ,1
תֵּשֵׁ֨ב,1
הַנַּעֲרָ֥,1
אִתָּ֛נוּ,1
א֣וֹ,70
עָשׂ֑וֹר,1
אַחַ֖ר,5
תֵּלֵֽךְ,1
אֲלֵהֶם֙,13
תְּאַחֲר֣וּ,1
אֹתִ֔י,3
וַֽיהוָ֖ה,2
הִצְלִ֣יחַ,1
דַּרְכִּ֑י,1
שַׁלְּח֕וּנִי,1
וְאֵלְכָ֖ה,2
וַיֹּאמְר֖וּ,10
נִקְרָ֣א,3
לַֽנַּעֲרָ֑,1
וְנִשְׁאֲלָ֖ה,1
פִּֽיהָ,1
לְרִבְקָה֙,1
הֲתֵלְכִ֖י,1
הָאִ֣ישׁ,8
אֵלֵֽךְ,2
וַֽיְשַׁלְּח֛וּ,1
אֲחֹתָ֖ם,1
מֵנִקְתָּ֑הּ,1
אֲנָשָֽׁיו,1
וַיְבָרֲכ֤וּ,1
רִבְקָה֙,3
אֲחֹתֵ֕נוּ,1
אַ֥תְּ,1
הֲיִ֖י,1
לְאַלְפֵ֣י,2
רְבָבָ֑ה,2
וְיִירַ֣שׁ,1
זַרְעֵ֔ךְ,1
שֹׂנְאָֽיו,1
וַתָּ֨קׇם,1
רִבְקָ֜ה,1
וְנַעֲרֹתֶ֗יהָ,1
וַתִּרְכַּ֨בְנָה֙,1
הַגְּמַלִּ֔ים,1
וַתֵּלַ֖כְנָה,1
וַיִּקַּ֥ח,10
הָעֶ֛בֶד,1
רִבְקָ֖ה,3
וַיֵּלַֽךְ,2
וְיִצְחָק֙,1
מִבּ֔וֹא,1
יוֹשֵׁ֖ב,6
הַנֶּֽגֶב,1
וַיֵּצֵ֥א,8
יִצְחָ֛ק,6
לָשׂ֥וּחַ,1
בַּשָּׂדֶ֖ה,2
לִפְנ֣וֹת,1
עָ֑רֶב,1
גְמַלִּ֖ים,1
בָּאִֽים,1
וַתִּשָּׂ֤א,1
וַתִּפֹּ֖ל,1
הַגָּמָֽל,1
הָעֶ֗בֶד,1
הָאִ֤ישׁ,4
הַלָּזֶה֙,1
הַהֹלֵ֤ךְ,1
בַּשָּׂדֶה֙,1
לִקְרָאתֵ֔נוּ,1
הַצָּעִ֖יף,1
וַתִּתְכָּֽס,1
וַיְסַפֵּ֥ר,2
לְיִצְחָ֑ק,1
הַדְּבָרִ֖ים,8
וַיְבִאֶ֣הָ,1
יִצְחָ֗ק,1
הָאֹ֨הֱלָה֙,1
אִמּ֔וֹ,5
וַיִּקַּ֧ח,3
רִבְקָ֛ה,1
לְאִשָּׁ֖ה,3
וַיֶּאֱהָבֶ֑הָ,1
וַיִּנָּחֵ֥ם,1
יִצְחָ֖ק,7
אִמּֽוֹ,5
וַיֹּ֧סֶף,1
קְטוּרָֽה,2
זִמְרָן֙,1
יׇקְשָׁ֔ן,1
מְדָ֖ן,1
מִדְיָ֑ן,3
יִשְׁבָּ֖ק,1
שֽׁוּחַ,1
וְיׇקְשָׁ֣ן,1
שְׁבָ֖א,1
דְּדָ֑ן,1
דְדָ֔ן,1
הָי֛וּ,3
אַשּׁוּרִ֥ם,1
וּלְטוּשִׁ֖ים,1
וּלְאֻמִּֽים,1
מִדְיָ֗ן,2
עֵיפָ֤ה,1
וָעֵ֨פֶר֙,1
וַחֲנֹ֔ךְ,1
וַאֲבִידָ֖ע,1
וְאֶלְדָּעָ֑ה,1
וַיִּתֵּ֧ן,3
וְלִבְנֵ֤י,2
הַפִּֽילַגְשִׁים֙,1
מַתָּנֹ֑ת,1
וַֽיְשַׁלְּחֵ֞ם,1
מֵעַ֨ל,1
יִצְחָ֤ק,4
בְּנוֹ֙,1
בְּעוֹדֶ֣נּוּ,1
קֵ֖דְמָה,1
קֶֽדֶם,2
וְאֵ֗לֶּה,6
יְמֵ֛י,1
שְׁנֵֽי,13
חָ֑י,4
מְאַ֥ת,4
וְשִׁבְעִ֥ים,3
וְחָמֵ֥שׁ,1
שָׁנִֽים,2
וַיִּגְוַ֨ע,2
וַיָּ֧מׇת,2
טוֹבָ֖ה,1
זָקֵ֣ן,2
וְשָׂבֵ֑עַ,1
וַיֵּאָ֖סֶף,3
עַמָּֽיו,4
וַיִּקְבְּר֨וּ,1
וְיִשְׁמָעֵאל֙,1
בָּנָ֔יו,6
מְעָרַ֖ת,1
הַמַּכְפֵּלָ֑ה,2
שְׂדֵ֞ה,1
עֶפְרֹ֤ן,1
צֹ֨חַר֙,1
הַֽחִתִּ֔י,2
מַמְרֵֽא,2
הַשָּׂדֶ֛ה,2
קָנָ֥ה,1
שָׁ֛מָּה,4
קֻבַּ֥ר,1
וַיְבָ֥רֶךְ,6
לַחַ֖י רֹאִֽי,1
וְאֵ֛לֶּה,8
תֹּלְדֹ֥ת,1
יָלְדָ֜ה,1
לְאַבְרָהָֽם,2
שְׁמוֹת֙,3
בִּשְׁמֹתָ֖ם,1
לְתוֹלְדֹתָ֑ם,1
בְּכֹ֤ר,2
יִשְׁמָעֵאל֙,2
נְבָיֹ֔ת,1
וְקֵדָ֥ר,1
וְאַדְבְּאֵ֖ל,1
וּמִבְשָֽׂם,1
וּמִשְׁמָ֥ע,1
וְדוּמָ֖ה,1
וּמַשָּֽׂא,1
חֲדַ֣ד,1
וְתֵימָ֔א,1
יְט֥וּר,1
נָפִ֖ישׁ,1
וָקֵֽדְמָה,1
הֵ֞ם,1
וְאֵ֣לֶּה,2
שְׁמֹתָ֔ם,1
בְּחַצְרֵיהֶ֖ם,1
וּבְטִֽירֹתָ֑ם,1
נְשִׂיאִ֖ם,1
לְאֻמֹּתָֽם,1
שְׁנֵי֙,11
וַיִּגְוַ֣ע,1
וַיָּ֔מׇת,1
וַיִּשְׁכְּנ֨וּ,1
מֵֽחֲוִילָ֜ה,1
שׁ֗וּר,1
אַשּׁ֑וּרָה,1
נָפָֽל,1
תּוֹלְדֹ֥ת,2
יִצְחָק֙,7
בְּקַחְתּ֣וֹ,1
רִבְקָ֗ה,1
הָֽאֲרַמִּ֔י,2
מִפַּדַּ֖ן,1
אֲח֛וֹת,1
לָבָ֥ן,3
הָאֲרַמִּ֖י,2
וַיֶּעְתַּ֨ר,1
לַֽיהוָה֙,10
לְנֹ֣כַח,2
עֲקָרָ֖ה,1
וַיֵּעָ֤תֶר,1
לוֹ֙,27
וַיִּתְרֹֽצֲצ֤וּ,1
הַבָּנִים֙,1
בְּקִרְבָּ֔הּ,1
כֵּ֔ן,7
לָ֥מָּה,9
זֶּ֖ה,4
וַתֵּ֖לֶךְ,2
לִדְרֹ֥שׁ,2
לָ֗הּ,3
גוֹיִם֙,2
בְּבִטְנֵ֔ךְ,1
וּשְׁנֵ֣י,7
לְאֻמִּ֔ים,2
מִמֵּעַ֖יִךְ,1
יִפָּרֵ֑דוּ,1
וּלְאֹם֙,1
מִלְאֹ֣ם,1
יֶֽאֱמָ֔ץ,1
וְרַ֖ב,1
יַעֲבֹ֥ד,2
צָעִֽיר,1
וַיִּמְלְא֥וּ,1
יָמֶ֖יהָ,1
לָלֶ֑דֶת,1
תוֹמִ֖ם,1
בְּבִטְנָֽהּ,2
הָרִאשׁוֹן֙,2
אַדְמוֹנִ֔י,1
כֻּלּ֖וֹ,1
כְּאַדֶּ֣רֶת,1
שֵׂעָ֑ר,1
וַיִּקְרְא֥וּ,2
עֵשָֽׂו,8
וְאַֽחֲרֵי,2
כֵ֞ן,2
וְיָד֤וֹ,1
אֹחֶ֨זֶת֙,1
בַּעֲקֵ֣ב,1
עֵשָׂ֔ו,14
יַעֲקֹ֑ב,15
וְיִצְחָ֛ק,1
שִׁשִּׁ֥ים,4
בְּלֶ֥דֶת,1
וַֽיִּגְדְּלוּ֙,1
עֵשָׂ֗ו,4
אִ֛ישׁ,25
יֹדֵ֥עַ,1
שָׂדֶ֑ה,1
וְיַעֲקֹב֙,2
תָּ֔ם,1
אֹהָלִֽים,1
וַיֶּאֱהַ֥ב,3
עֵשָׂ֖ו,12
צַ֣יִד,1
בְּפִ֑יו,3
וְרִבְקָ֖ה,1
אֹהֶ֥בֶת,1
יַעֲקֹֽב,8
וַיָּ֥זֶד,1
יַעֲקֹ֖ב,33
נָזִ֑יד,1
עֵשָׂ֛ו,6
עָיֵֽף,1
עֵשָׂ֜ו,4
יַעֲקֹ֗ב,12
הַלְעִיטֵ֤נִי,1
הָאָדֹ֤ם,1
הָאָדֹם֙,1
עָיֵ֖ף,1
קָרָֽא,3
אֱדֽוֹם,8
מִכְרָ֥ה,1
כַיּ֛וֹם,1
בְּכֹֽרָתְךָ֖,1
הוֹלֵ֖ךְ,3
לָמ֑וּת,2
וְלָמָּה,1
זֶּ֥ה,1
בְּכֹרָֽה,1
הִשָּׁ֤בְעָה,1
לִּי֙,4
כַּיּ֔וֹם,1
וַיִּשָּׁבַ֖ע,3
וַיִּמְכֹּ֥ר,1
בְּכֹרָת֖וֹ,1
לְיַעֲקֹֽב,5
וְיַעֲקֹ֞ב,1
נָתַ֣ן,6
לְעֵשָׂ֗ו,2
לֶ֚חֶם,5
וּנְזִ֣יד,1
עֲדָשִׁ֔ים,1
וַיֹּ֣אכַל,2
וַיֵּ֔שְׁתְּ,1
וַיָּ֖קׇם,3
וַיֵּלַ֑ךְ,1
וַיִּ֥בֶז,1
הַבְּכֹרָֽה,2
רָעָב֙,3
מִלְּבַד֙,10
הָרָעָ֣ב,1
הָרִאשׁ֔וֹן,2
בִּימֵ֣י,2
וַיֵּ֧לֶךְ,1
אֲבִימֶ֥לֶךְ,1
גְּרָֽרָה,1
תֵּרֵ֣ד,1
שְׁכֹ֣ן,1
גּ֚וּר,1
בָּאָ֣רֶץ,5
וְאֶֽהְיֶ֥ה,1
עִמְּךָ֖,3
וַאֲבָרְכֶ֑ךָּ,1
וּֽלְזַרְעֲךָ֗,1
אֶתֵּן֙,3
הָֽאֲרָצֹ֣ת,1
וַהֲקִֽמֹתִי֙,1
הַשְּׁבֻעָ֔ה,1
אָבִֽיךָ,2
וְהִרְבֵּיתִ֤י,1
לְזַרְעֲךָ֔,1
הָאֲרָצֹ֖ת,1
הָאֵ֑ל,1
בְּקֹלִ֑י,4
וַיִּשְׁמֹר֙,1
מִשְׁמַרְתִּ֔י,1
מִצְוֹתַ֖י,3
חֻקּוֹתַ֥י,1
וְתוֹרֹתָֽי,2
וַֽיִּשְׁאֲל֞וּ,1
לְאִשְׁתּ֔וֹ,1
יָרֵא֙,1
לֵאמֹ֣ר,2
אִשְׁתִּ֔י,2
יַֽהַרְגֻ֜נִי,1
רִבְקָ֔ה,3
טוֹבַ֥ת,1
הִֽיא,2
אָֽרְכוּ,1
הַיָּמִ֔ים,6
פְּלִשְׁתִּ֔ים,5
בְּעַ֖ד,1
הַֽחַלּ֑וֹן,1
מְצַחֵ֔ק,1
לְיִצְחָ֗ק,1
אַ֣ךְ,12
אִשְׁתְּךָ֙,1
וְאֵ֥יךְ,1
אָמַ֖רְתָּ,1
אָמַ֔רְתִּי,2
אָמ֖וּת,1
לָּ֑נוּ,2
כִּ֠מְעַט,1
שָׁכַ֞ב,1
אַחַ֤ד,2
הָעָם֙,20
אִשְׁתֶּ֔ךָ,1
וְהֵבֵאתָ֥,4
עָלֵ֖ינוּ,3
אָשָֽׁם,2
וַיְצַ֣ו,6
הַנֹּגֵ֜עַ,1
בָּאִ֥ישׁ,2
הַזֶּ֛ה,9
וּבְאִשְׁתּ֖וֹ,1
יוּמָֽת,19
וַיִּזְרַ֤ע,1
וַיִּמְצָ֛א,1
בַּשָּׁנָ֥ה,3
מֵאָ֣ה,2
שְׁעָרִ֑ים,1
וַֽיְבָרֲכֵ֖הוּ,1
וַיִּגְדַּ֖ל,1
הָלוֹךְ֙,1
וְגָדֵ֔ל,1
גָדַ֖ל,1
צֹאן֙,3
וּמִקְנֵ֣ה,1
בָקָ֔ר,1
וַעֲבֻדָּ֖ה,1
רַבָּ֑ה,1
וַיְקַנְא֥וּ,1
הַבְּאֵרֹ֗ת,1
חָֽפְרוּ֙,2
עַבְדֵ֣י,3
אָבִ֔יו,10
בִּימֵ֖י,2
סִתְּמ֣וּם,1
וַיְמַלְא֖וּם,1
עָפָֽר,2
לֵ֚ךְ,2
מֵֽעִמָּ֔נוּ,1
עָצַֽמְתָּ,1
וַיִּ֥חַן,1
בְּנַֽחַל,1
גְּרָ֖ר,1
וַיָּ֨שׇׁב,3
וַיַּחְפֹּ֣ר,1
בְּאֵרֹ֣ת,1
וַיְסַתְּמ֣וּם,1
לָהֶן֙,1
שֵׁמ֔וֹת,2
כַּשֵּׁמֹ֕ת,1
לָהֶ֖ן,1
אָבִֽיו,10
וַיַּחְפְּר֥וּ,1
עַבְדֵֽי,2
בַּנָּ֑חַל,1
וַיִּ֨מְצְאוּ,1
בְּאֵ֖ר,1
מַ֥יִם,5
וַיָּרִ֜יבוּ,1
גְרָ֗ר,1
רֹעֵ֥י,1
לֵאמֹ֖ר,5
לָ֣נוּ,8
הַבְּאֵר֙,1
עֵ֔שֶׂק,1
הִֽתְעַשְּׂק֖וּ,1
עִמּֽוֹ,13
וַֽיַּחְפְּרוּ֙,1
אַחֶ֔רֶת,2
וַיָּרִ֖יבוּ,1
עָלֶ֑יהָ,10
שִׂטְנָֽה,1
וַיַּעְתֵּ֣ק,1
מִשָּׁ֗ם,3
וַיַּחְפֹּר֙,1
רָב֖וּ,1
רְחֹב֔וֹת,1
עַתָּ֞ה,3
הִרְחִ֧יב,1
וּפָרִ֥ינוּ,1
הַה֔וּא,14
אָנֹכִ֕י,1
אֱלֹהֵ֖י,3
תִּירָא֙,2
אִתְּךָ֣,1
אָנֹ֔כִי,4
וּבֵֽרַכְתִּ֨יךָ֙,1
וְהִרְבֵּיתִ֣י,1
אַבְרָהָ֥ם,1
עַבְדִּֽי,1
וַיִּ֧בֶן,1
שָׁ֣ם,7
מִזְבֵּ֗חַ,2
בְּשֵׁ֣ם,3
וַיֶּט,1
אׇהֳל֑וֹ,3
וַיִּכְרוּ,1
עַבְדֵי,1
בְּאֵֽר,1
הָלַ֥ךְ,3
מִגְּרָ֑ר,1
וַאֲחֻזַּת֙,1
מֵֽרֵעֵ֔הוּ,1
וּפִיכֹ֖ל,1
צְבָאֽוֹ,1
מַדּ֖וּעַ,2
בָּאתֶ֣ם,1
וְאַתֶּם֙,5
שְׂנֵאתֶ֣ם,1
וַתְּשַׁלְּח֖וּנִי,1
מֵאִתְּכֶֽם,1
וַיֹּאמְר֗וּ,7
רָא֣וֹ,1
רָאִינוּ֮,1
עִמָּךְ֒,1
וַנֹּ֗אמֶר,1
תְּהִ֨י,1
אָלָ֛ה,1
בֵּינוֹתֵ֖ינוּ,1
בֵּינֵ֣ינוּ,1
וְנִכְרְתָ֥ה,1
עִמָּֽךְ,13
תַּעֲשֵׂ֨ה,1
עִמָּ֜נוּ,1
רָעָ֗ה,1
כַּאֲשֶׁר֙,2
נְגַֽעֲנ֔וּךָ,1
וְכַאֲשֶׁ֨ר,1
עָשִׂ֤ינוּ,1
רַק,2
ט֔וֹב,2
וַנְּשַׁלֵּֽחֲךָ֖,1
עַתָּ֖ה,7
בְּר֥וּךְ,1
וַיֹּאכְל֖וּ,2
וַיִּשְׁתּֽוּ,2
וַיַּשְׁכִּ֣ימוּ,1
וַיִּשָּׁבְע֖וּ,1
לְאָחִ֑יו,2
וַיְשַׁלְּחֵ֣ם,1
מֵאִתּ֖וֹ,1
בְּשָׁלֽוֹם,1
וַיָּבֹ֨אוּ֙,8
וַיַּגִּ֣דוּ,1
אֹד֥וֹת,1
חָפָ֑רוּ,1
וַיֹּ֥אמְרוּ,1
מָצָ֥אנוּ,1
שִׁבְעָ֑ה,3
כֵּ֤ן,6
הָעִיר֙,3
שֶׁ֔בַע,1
הַיּ֥וֹם,12
עֵשָׂו֙,6
יְהוּדִ֔ית,1
בְּאֵרִ֖י,1
הַֽחִתִּ֑י,1
בָּ֣שְׂמַ֔ת,1
אֵילֹ֖ן,1
הַֽחִתִּֽי,2
וַתִּהְיֶ֖יןָ,1
מֹ֣רַת,1
ר֑וּחַ,1
לְיִצְחָ֖ק,7
וּלְרִבְקָֽה,1
וַיְהִי֙,12
וַתִּכְהֶ֥יןָ,1
עֵינָ֖יו,1
מֵרְאֹ֑ת,1
וַיִּקְרָ֞א,1
עֵשָׂ֣ו,6
בְּנ֣וֹ,3
הַגָּדֹ֗ל,1
זָקַ֑נְתִּי,1
יָדַ֖עְתִּי,2
מוֹתִֽי,3
שָׂא,2
כֵלֶ֔יךָ,1
תֶּלְיְךָ֖,1
וְקַשְׁתֶּ֑ךָ,1
וְצֵא֙,1
וְצ֥וּדָה,1
לִּ֖י,7
צָֽיִד,1
לִ֨י,3
מַטְעַמִּ֜ים,1
אָהַ֛בְתִּי,1
וְהָבִ֥יאָה,1
וְאֹכֵ֑לָה,2
בַּעֲב֛וּר,1
תְּבָרֶכְךָ֥,1
בְּטֶ֥רֶם,4
אָמֽוּת,3
וְרִבְקָ֣ה,1
שֹׁמַ֔עַת,1
בְּדַבֵּ֣ר,1
לָצ֥וּד,1
לְהָבִֽיא,1
וְרִבְקָה֙,1
יַעֲקֹ֥ב,7
בְּנָ֖הּ,1
שָׁמַ֨עְתִּי֙,3
אָבִ֔יךָ,4
מְדַבֵּ֛ר,1
עֵשָׂ֥ו,4
הָבִ֨יאָה,1
צַ֛יִד,1
לִ֥י,10
מַטְעַמִּ֖ים,1
וַאֲבָרֶכְכָ֛ה,1
וְעַתָּ֥ה,3
בְנִ֖י,2
לַאֲשֶׁ֥ר,3
מְצַוָּ֥ה,1
אֹתָֽךְ,3
הַצֹּ֔אן,8
וְקַֽח,2
שְׁנֵ֛י,2
גְּדָיֵ֥י,1
עִזִּ֖ים,7
טֹבִ֑ים,1
וְאֶֽעֱשֶׂ֨ה,1
אֹתָ֧ם,2
מַטְעַמִּ֛ים,1
לְאָבִ֖יךָ,2
אָהֵֽב,1
וְאָכָ֑ל,1
בַּעֲבֻ֛ר,1
יְבָרֶכְךָ֖,3
מוֹתֽוֹ,2
יַעֲקֹ֔ב,29
עֵשָׂ֤ו,2
אָחִי֙,1
שָׂעִ֔ר,1
חָלָֽק,1
אוּלַ֤י,3
יְמֻשֵּׁ֨נִי֙,1
בְעֵינָ֖יו,1
כִּמְתַעְתֵּ֑עַ,1
וְהֵבֵאתִ֥י,1
קְלָלָ֖ה,1
בְרָכָֽה,1
עָלַ֥י,1
קִלְלָתְךָ֖,1
שְׁמַ֥ע,1
בְּקֹלִ֖י,1
וְלֵ֥ךְ,1
