Book,Chapter,Verse,Depth
Genesis,11,23,5
Genesis,11,24,5
Genesis,11,25,7
Genesis,11,26,6
Genesis,11,27,6
Genesis,11,28,5
Genesis,11,29,7
Genesis,11,30,4
Genesis,11,31,12
Genesis,11,32,5
Genesis,12,1,5
Genesis,12,2,5
Genesis,12,3,5
Genesis,12,4,9
Genesis,12,5,5
Genesis,12,6,6
Genesis,12,7,8
Genesis,12,8,8
Genesis,12,9,4
Genesis,12,10,5
Genesis,12,11,9
Genesis,12,12,5
Genesis,12,13,6
Genesis,12,14,6
Genesis,12,15,5
Genesis,12,16,6
Genesis,12,17,6
Genesis,12,18,7
Genesis,12,19,4
Genesis,12,20,8
Genesis,13,1,4
Genesis,13,2,4
Genesis,13,3,6
Genesis,13,4,7
Genesis,13,5,7
Genesis,13,6,7
Genesis,13,7,7
Genesis,13,8,7
Genesis,13,9,5
Genesis,13,10,10
Genesis,13,11,9
Genesis,13,12,7
Genesis,13,13,4
Genesis,13,14,8
Genesis,13,15,7
Genesis,13,16,6
Genesis,13,17,7
Genesis,13,18,6
Genesis,14,1,9
Genesis,14,2,7
Genesis,14,3,6
Genesis,14,4,5
Genesis,14,5,7
Genesis,14,6,5
Genesis,14,7,8
Genesis,14,8,7
Genesis,14,9,8
Genesis,14,10,7
Genesis,14,11,6
Genesis,14,12,7
Genesis,14,13,6
Genesis,14,14,8
Genesis,14,15,8
Genesis,14,16,6
Genesis,14,17,5
Genesis,14,18,5
Genesis,14,19,6
Genesis,14,20,6
Genesis,14,21,7
Genesis,14,22,6
Genesis,14,23,4
Genesis,14,24,5
Genesis,15,1,8
Genesis,15,2,5
Genesis,15,3,6
Genesis,15,4,7
Genesis,15,5,7
Genesis,15,6,4
Genesis,15,7,6
Genesis,15,8,5
Genesis,15,9,6
Genesis,15,10,8
Genesis,15,11,5
Genesis,15,12,6
Genesis,15,13,9
Genesis,15,14,7
Genesis,15,15,5
Genesis,15,16,6
Genesis,15,17,6
Genesis,15,18,8
Genesis,15,19,4
Genesis,15,20,5
Genesis,15,21,4
Genesis,16,1,5
Genesis,16,2,6
Genesis,16,3,7
Genesis,16,4,6
Genesis,16,5,8
Genesis,16,6,5
Genesis,16,7,7
Genesis,16,8,6
Genesis,16,9,5
Genesis,16,10,7
Genesis,16,11,8
Genesis,16,12,5
Genesis,16,13,6
Genesis,16,14,7
Genesis,16,15,7
Genesis,16,16,5
Genesis,17,1,7
Genesis,17,2,6
Genesis,17,3,5
Genesis,17,4,6
Genesis,17,5,6
Genesis,17,6,5
Genesis,17,7,10
Genesis,17,8,6
Genesis,17,9,5
Genesis,17,10,8
Genesis,17,11,6
Genesis,17,12,8
Genesis,17,13,7
Genesis,17,14,5
Genesis,17,15,5
Genesis,17,16,7
Genesis,17,17,7
Genesis,17,18,5
Genesis,17,19,5
Genesis,17,20,8
Genesis,17,21,7
Genesis,17,22,6
Genesis,17,23,7
Genesis,17,24,5
Genesis,17,25,6
Genesis,17,26,5
Genesis,17,27,3
Genesis,18,1,5
Genesis,18,2,8
Genesis,18,3,6
Genesis,18,4,5
Genesis,18,5,8
Genesis,18,6,6
Genesis,18,7,6
Genesis,18,8,7
Genesis,18,9,5
Genesis,18,10,6
Genesis,18,11,6
Genesis,18,12,7
Genesis,18,13,5
Genesis,18,14,6
