Book,Chapter,Verse,Total Words,Unique Words
Genesis,10,10,9,9
Genesis,10,11,12,11
Genesis,10,12,9,9
Genesis,10,13,10,8
Genesis,10,14,10,9
Genesis,10,15,7,7
Genesis,10,16,6,5
Genesis,10,17,6,4
Genesis,10,18,10,8
Genesis,10,19,15,14
Genesis,10,20,7,7
Genesis,10,21,11,11
Genesis,10,22,7,7
Genesis,10,23,6,6
Genesis,10,24,8,7
Genesis,10,25,14,14
Genesis,10,26,10,8
Genesis,10,27,6,4
Genesis,10,28,6,4
Genesis,10,29,10,8
Genesis,10,30,7,7
Genesis,10,31,7,7
Genesis,10,32,12,12
Genesis,11,1,7,7
Genesis,11,2,9,9
Genesis,11,3,17,17
Genesis,11,4,17,17
Genesis,11,5,11,11
Genesis,11,6,19,19
Genesis,11,7,11,11
Genesis,11,8,11,11
Genesis,11,9,19,17
Genesis,11,10,13,13
Genesis,11,11,12,12
Genesis,11,12,8,8
Genesis,11,13,14,14
Genesis,11,14,7,7
Genesis,11,15,14,14
Genesis,11,16,8,8
Genesis,11,17,14,14
Genesis,11,18,7,7
Genesis,11,19,13,13
Genesis,11,20,8,8
Genesis,11,21,13,13
Genesis,11,22,7,7
Genesis,11,23,11,11
Genesis,11,24,8,8
Genesis,11,25,14,14
Genesis,11,26,11,10
Genesis,11,27,15,13
Genesis,11,28,10,10
Genesis,11,29,19,18
Genesis,11,30,6,6
Genesis,11,31,29,27
Genesis,11,32,10,10
Genesis,12,1,14,13
Genesis,12,2,8,8
Genesis,12,3,9,9
Genesis,12,4,17,17
Genesis,12,5,26,24
Genesis,12,6,12,12
Genesis,12,7,16,16
Genesis,12,8,18,18
Genesis,12,9,5,5
Genesis,12,10,12,12
Genesis,12,11,17,17
Genesis,12,12,12,12
Genesis,12,13,11,11
Genesis,12,14,12,12
Genesis,12,15,12,12
Genesis,12,16,12,12
Genesis,12,17,13,13
Genesis,12,18,15,15
Genesis,12,19,13,13
Genesis,12,20,12,11
Genesis,13,1,11,11
Genesis,13,2,6,6
Genesis,13,3,16,16
Genesis,13,4,12,12
Genesis,13,5,9,9
Genesis,13,6,14,14
Genesis,13,7,15,14
Genesis,13,8,18,18
Genesis,13,9,13,13
Genesis,13,10,25,23
Genesis,13,11,14,14
Genesis,13,12,11,11
Genesis,13,13,6,6
Genesis,13,14,21,21
Genesis,13,15,12,12
Genesis,13,16,16,15
Genesis,13,17,8,8
Genesis,13,18,12,12
Genesis,14,1,14,13
Genesis,14,2,20,17
Genesis,14,3,9,9
Genesis,14,4,10,10
Genesis,14,5,19,19
Genesis,14,6,9,9
Genesis,14,7,16,16
Genesis,14,8,18,17
Genesis,14,9,17,14
Genesis,14,10,14,14
Genesis,14,11,10,9
Genesis,14,12,12,12
Genesis,14,13,18,18
Genesis,14,14,17,17
Genesis,14,15,12,12
Genesis,14,16,15,14
Genesis,14,17,19,19
Genesis,14,18,10,10
Genesis,14,19,9,9
Genesis,14,20,11,11
Genesis,14,21,11,11
Genesis,14,22,14,13
Genesis,14,23,16,16
Genesis,14,24,16,16
Genesis,15,1,19,19
Genesis,15,2,16,16
Genesis,15,3,12,12
Genesis,15,4,15,15
Genesis,15,5,18,18
Genesis,15,6,5,5
Genesis,15,7,14,14
Genesis,15,8,7,7
Genesis,15,9,12,12
Genesis,15,10,17,17
Genesis,15,11,7,7
Genesis,15,12,13,13
Genesis,15,13,17,17
Genesis,15,14,12,12
Genesis,15,15,8,8
Genesis,15,16,11,11
Genesis,15,17,15,15
Genesis,15,18,20,19
Genesis,15,19,6,6
Genesis,15,20,6,4
Genesis,15,21,8,5
Genesis,16,1,11,11
Genesis,16,2,20,19
Genesis,16,3,21,21
Genesis,16,4,10,10
Genesis,16,5,19,19
Genesis,16,6,15,15
Genesis,16,7,11,10
Genesis,16,8,15,15
Genesis,16,9,10,10
Genesis,16,10,11,11
Genesis,16,11,16,16
Genesis,16,12,14,14
Genesis,16,13,15,15
Genesis,16,14,11,11
Genesis,16,15,12,12
Genesis,16,16,11,11
Genesis,17,1,20,20
Genesis,17,2,8,8
Genesis,17,3,8,8
Genesis,17,4,8,8
Genesis,17,5,14,14
Genesis,17,6,9,9
Genesis,17,7,16,16
Genesis,17,8,16,15
Genesis,17,9,12,12
Genesis,17,10,13,13
Genesis,17,11,9,9
Genesis,17,12,19,19
Genesis,17,13,11,11
Genesis,17,14,15,14
Genesis,17,15,14,14
Genesis,17,16,14,14
Genesis,17,17,17,17
Genesis,17,18,8,8
Genesis,17,19,20,19
Genesis,17,20,18,18
Genesis,17,21,13,13
Genesis,17,22,7,7
Genesis,17,23,29,26
Genesis,17,24,8,8
Genesis,17,25,10,10
Genesis,17,26,7,7
Genesis,17,27,12,12
Genesis,18,1,11,11
Genesis,18,2,15,15
Genesis,18,3,12,12
Genesis,18,4,9,9
Genesis,18,5,18,17
Genesis,18,6,14,14
Genesis,18,7,15,15
Genesis,18,8,15,15
